"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","码同学微服务商城项目","0","买家服务接口","5","0","立即购买接口异常用例","0"
"0","码同学全栈接口项目","0","cookie案例","1","0","登录接口各项用例","0"
"0","码同学全栈接口项目","0","cookie案例","7","0","登陆接口各项用例","0"
"0","码同学微服务商城项目","0","买家服务接口","10","0","创建交易接口正向用例","0"
"0","码同学微服务商城项目","0","买家服务接口","1","0","买家登陆接口正常用例","0"
